Time in ms from program start,Instantaneous IMU acceleration (maybe m/s2),Velocity (m/s),Displacement (m)
6559.000,0.000,0.000,0.000
6599.000,0.000,0.000,0.000
6639.000,0.000,0.000,0.000
6679.000,0.000,0.000,0.000
6719.000,0.000,0.000,0.000
6759.000,0.000,0.000,0.000
6799.000,0.000,0.000,0.000
6839.000,0.000,0.000,0.000
6879.000,0.000,0.000,0.000
6919.000,0.000,0.000,0.000
6960.000,0.000,0.000,0.000
6999.000,0.000,0.000,0.000
7039.000,0.000,0.000,0.000
7079.000,0.000,0.000,0.000
7119.000,0.000,0.000,0.000
7159.000,0.000,0.000,0.000
7199.000,0.000,0.000,0.000
7239.000,0.000,0.000,0.000
7279.000,0.000,0.000,0.000
7319.000,0.000,0.000,0.000
7359.000,0.000,0.000,0.000
7399.000,0.000,0.000,0.000
7439.000,0.000,0.000,0.000
7479.000,0.000,0.000,0.000
7519.000,0.000,0.000,0.000
7559.000,0.000,0.000,0.000
7599.000,0.000,0.000,0.000
7639.000,0.000,0.000,0.000
7679.000,0.000,0.000,0.000
7719.000,0.000,0.000,0.000
7759.000,0.000,0.000,0.000
7799.000,0.000,0.000,0.000
7839.000,0.000,0.000,0.000
7879.000,0.000,0.000,0.000
7919.000,0.000,0.000,0.000
7959.000,0.000,0.000,0.000
7999.000,0.000,0.000,0.000
8039.000,0.000,0.000,0.000
8079.000,0.000,0.000,0.000
8119.000,0.000,0.000,0.000
8159.000,0.000,0.000,0.000
8199.000,0.000,0.000,0.000
8239.000,0.000,0.000,0.000
8279.000,0.000,0.000,0.000
8319.000,0.000,0.000,0.000
8359.000,0.000,0.000,0.000
8399.000,0.000,0.000,0.000
8439.000,0.000,0.000,0.000
8479.000,0.000,0.000,0.000
8519.000,0.000,0.000,0.000
8559.000,0.000,0.000,0.000
8599.000,0.000,0.000,0.000
8639.000,0.000,0.000,0.000
8679.000,0.000,0.000,0.000
8719.000,0.000,0.000,0.000
8759.000,0.000,0.000,0.000
8799.000,0.000,0.000,0.000
8839.000,0.000,0.000,0.000
8879.000,0.000,0.000,0.000
8919.000,0.000,0.000,0.000
8959.000,0.000,0.000,0.000
8999.000,0.000,0.000,0.000
9039.000,0.000,0.000,0.000
9079.000,0.000,0.000,0.000
9119.000,0.000,0.000,0.000
9159.000,0.000,0.000,0.000
9199.000,0.000,0.000,0.000
9239.000,0.000,0.000,0.000
9279.000,0.000,0.000,0.000
9319.000,0.000,0.000,0.000
9359.000,0.000,0.000,0.000
9399.000,0.000,0.000,0.000
9439.000,0.000,0.000,0.000
9479.000,0.000,0.000,0.000
9519.000,0.000,0.000,0.000
9559.000,0.000,0.000,0.000
9599.000,0.000,0.000,0.000
9639.000,0.000,0.000,0.000
9679.000,0.000,0.000,0.000
9719.000,0.000,0.000,0.000
9759.000,0.000,0.000,0.000
9799.000,0.000,0.000,0.000
9839.000,0.000,0.000,0.000
9879.000,0.000,0.000,0.000
9919.000,0.000,0.000,0.000
9959.000,0.000,0.000,0.000
9999.000,0.000,0.000,0.000
10039.000,0.000,0.000,0.000
10079.000,0.000,0.000,0.000
10119.000,0.000,0.000,0.000
10159.000,0.000,0.000,0.000
10199.000,0.000,0.000,0.000
10239.000,0.000,0.000,0.000
10279.000,0.000,0.000,0.000
10319.000,0.000,0.000,0.000
10359.000,0.000,0.000,0.000
10399.000,0.000,0.000,0.000
10439.000,0.000,0.000,0.000
10479.000,0.000,0.000,0.000
10519.000,0.000,0.000,0.000
10559.000,0.000,0.000,0.000
10599.000,0.000,0.000,0.000
10639.000,0.000,0.000,0.000
10679.000,0.000,0.000,0.000
10719.000,0.000,0.000,0.000
10759.000,0.000,0.000,0.000
10799.000,0.000,0.000,0.000
10839.000,0.000,0.000,0.000
10879.000,0.000,0.000,0.000
10919.000,0.000,0.000,0.000
10959.000,0.000,0.000,0.000
10999.000,0.000,0.000,0.000
11039.000,0.000,0.000,0.000
11079.000,0.000,0.000,0.000
11119.000,0.000,0.000,0.000
11159.000,0.000,0.000,0.000
11199.000,0.000,0.000,0.000
11239.000,0.000,0.000,0.000
11279.000,0.000,0.000,0.000
11319.000,0.000,0.000,0.000
11359.000,0.000,0.000,0.000
11399.000,0.000,0.000,0.000
11439.000,0.000,0.000,0.000
11479.000,0.000,0.000,0.000
11519.000,0.000,0.000,0.000
11559.000,0.000,0.000,0.000
11599.000,0.000,0.000,0.000
11639.000,0.000,0.000,0.000
11679.000,0.000,0.000,0.000
11719.000,0.000,0.000,0.000
11759.000,0.000,0.000,0.000
11799.000,0.000,0.000,0.000
11839.000,0.000,0.000,0.000
11879.000,0.000,0.000,0.000
11919.000,0.000,0.000,0.000
11959.000,0.000,0.000,0.000
11999.000,0.000,0.000,0.000
12039.000,0.000,0.000,0.000
12079.000,0.000,0.000,0.000
12119.000,0.000,0.000,0.000
12159.000,0.000,0.000,0.000
12199.000,0.000,0.000,0.000
12239.000,0.000,0.000,0.000
12279.000,0.000,0.000,0.000
12319.000,0.000,0.000,0.000
12359.000,0.000,0.000,0.000
12399.000,0.000,0.000,0.000
12439.000,0.000,0.000,0.000
12479.000,0.000,0.000,0.000
12520.000,0.000,0.000,0.000
12559.000,0.000,0.000,0.000
12599.000,0.000,0.000,0.000
12639.000,0.000,0.000,0.000
12679.000,0.000,0.000,0.000
12719.000,0.000,0.000,0.000
12759.000,0.000,0.000,0.000
12799.000,0.000,0.000,0.000
12839.000,0.000,0.000,0.000
12879.000,0.000,0.000,0.000
12919.000,0.000,0.000,0.000
12959.000,0.000,0.000,0.000
12999.000,0.000,0.000,0.000
13039.000,0.000,0.000,0.000
13079.000,0.000,0.000,0.000
13119.000,0.000,0.000,0.000
13159.000,0.000,0.000,0.000
13199.000,0.000,0.000,0.000
13239.000,0.000,0.000,0.000
13279.000,0.000,0.000,0.000
13319.000,0.000,0.000,0.000
13359.000,0.000,0.000,0.000
13399.000,0.000,0.000,0.000
13439.000,0.000,0.000,0.000
13479.000,0.000,0.000,0.000
13519.000,0.000,0.000,0.000
13559.000,0.000,0.000,0.000
13599.000,0.000,0.000,0.000
13639.000,0.000,0.000,0.000
13679.000,0.000,0.000,0.000
13719.000,0.000,0.000,0.000
13759.000,0.000,0.000,0.000
13799.000,0.000,0.000,0.000
13839.000,0.000,0.000,0.000
13879.000,0.000,0.000,0.000
13919.000,0.000,0.000,0.000
13959.000,0.000,0.000,0.000
13999.000,0.000,0.000,0.000
14039.000,0.000,0.000,0.000
14079.000,0.000,0.000,0.000
14119.000,0.000,0.000,0.000
14159.000,0.000,0.000,0.000
14199.000,0.000,0.000,0.000
14239.000,0.000,0.000,0.000
14279.000,0.000,0.000,0.000
14319.000,0.000,0.000,0.000
14359.000,0.000,0.000,0.000
14399.000,0.000,0.000,0.000
14439.000,0.000,0.000,0.000
14479.000,0.000,0.000,0.000
14519.000,0.000,0.000,0.000
14559.000,0.000,0.000,0.000
14599.000,0.000,0.000,0.000
14639.000,0.000,0.000,0.000
14679.000,0.000,0.000,0.000
14719.000,0.000,0.000,0.000
14759.000,0.000,0.000,0.000
14799.000,0.000,0.000,0.000
14839.000,0.000,0.000,0.000
14879.000,0.000,0.000,0.000
14919.000,0.000,0.000,0.000
14959.000,0.000,0.000,0.000
14999.000,0.000,0.000,0.000
15039.000,0.000,0.000,0.000
15079.000,0.000,0.000,0.000
15119.000,0.000,0.000,0.000
15159.000,0.000,0.000,0.000
15199.000,0.000,0.000,0.000
15239.000,0.000,0.000,0.000
15279.000,0.000,0.000,0.000
15319.000,0.000,0.000,0.000
15359.000,0.000,0.000,0.000
15399.000,0.000,0.000,0.000
15439.000,0.000,0.000,0.000
15479.000,0.000,0.000,0.000
15519.000,0.000,0.000,0.000
15559.000,0.000,0.000,0.000
15599.000,0.000,0.000,0.000
15639.000,0.000,0.000,0.000
15679.000,0.000,0.000,0.000
15719.000,0.000,0.000,0.000
15759.000,0.000,0.000,0.000
15799.000,0.000,0.000,0.000
15839.000,0.000,0.000,0.000
15879.000,0.000,0.000,0.000
15919.000,0.000,0.000,0.000
15959.000,0.000,0.000,0.000
15999.000,0.000,0.000,0.000
16039.000,0.000,0.000,0.000
16079.000,0.000,0.000,0.000
16119.000,0.000,0.000,0.000
16159.000,0.000,0.000,0.000
16199.000,0.000,0.000,0.000
16239.000,0.000,0.000,0.000
16279.000,0.000,0.000,0.000
16319.000,0.000,0.000,0.000
16359.000,0.000,0.000,0.000
16399.000,0.000,0.000,0.000
16439.000,0.000,0.000,0.000
16479.000,0.000,0.000,0.000
16519.000,0.000,0.000,0.000
16559.000,0.000,0.000,0.000
16599.000,0.000,0.000,0.000
16639.000,0.000,0.000,0.000
16679.000,0.000,0.000,0.000
16719.000,0.000,0.000,0.000
16759.000,0.000,0.000,0.000
16799.000,0.000,0.000,0.000
16839.000,0.000,0.000,0.000
16879.000,0.000,0.000,0.000
16919.000,0.000,0.000,0.000
16959.000,0.000,0.000,0.000
16999.000,0.000,0.000,0.000
17039.000,0.000,0.000,0.000
17079.000,0.000,0.000,0.000
17119.000,0.000,0.000,0.000
17159.000,0.000,0.000,0.000
17199.000,0.000,0.000,0.000
17239.000,0.000,0.000,0.000
17279.000,0.000,0.000,0.000
17319.000,0.000,0.000,0.000
17359.000,0.000,0.000,0.000
17399.000,0.000,0.000,0.000
17439.000,0.000,0.000,0.000
17479.000,0.000,0.000,0.000
17519.000,0.000,0.000,0.000
17559.000,0.000,0.000,0.000
17599.000,0.000,0.000,0.000
17639.000,0.000,0.000,0.000
17679.000,0.000,0.000,0.000
17719.000,0.000,0.000,0.000
17759.000,0.000,0.000,0.000
17799.000,0.000,0.000,0.000
17839.000,0.000,0.000,0.000
17879.000,0.000,0.000,0.000
17919.000,0.000,0.000,0.000
17959.000,0.000,0.000,0.000
17999.000,0.000,0.000,0.000
18039.000,0.000,0.000,0.000
18079.000,0.000,0.000,0.000
18119.000,0.000,0.000,0.000
18159.000,0.000,0.000,0.000
18199.000,0.000,0.000,0.000
18239.000,0.000,0.000,0.000
18279.000,0.000,0.000,0.000
18319.000,0.000,0.000,0.000
18359.000,0.000,0.000,0.000
18399.000,0.000,0.000,0.000
18439.000,0.000,0.000,0.000
18479.000,0.000,0.000,0.000
18519.000,0.000,0.000,0.000
18560.000,0.000,0.000,0.000
18599.000,0.000,0.000,0.000
18639.000,0.000,0.000,0.000
18679.000,0.000,0.000,0.000
18719.000,0.000,0.000,0.000
18759.000,0.000,0.000,0.000
18799.000,0.000,0.000,0.000
18839.000,0.000,0.000,0.000
18879.000,0.000,0.000,0.000
18919.000,0.000,0.000,0.000
18959.000,0.000,0.000,0.000
18999.000,0.000,0.000,0.000
19039.000,0.000,0.000,0.000
19079.000,0.000,0.000,0.000
19119.000,0.000,0.000,0.000
19159.000,0.000,0.000,0.000
19199.000,0.000,0.000,0.000
19239.000,0.000,0.000,0.000
19279.000,0.000,0.000,0.000
19319.000,0.000,0.000,0.000
19359.000,0.000,0.000,0.000
19399.000,0.000,0.000,0.000
19439.000,0.000,0.000,0.000
19479.000,0.000,0.000,0.000
19519.000,0.000,0.000,0.000
19560.000,0.000,0.000,0.000
19599.000,0.000,0.000,0.000
19639.000,0.000,0.000,0.000
19679.000,0.000,0.000,0.000
19719.000,0.000,0.000,0.000
19759.000,0.000,0.000,0.000
19799.000,0.000,0.000,0.000
19839.000,0.000,0.000,0.000
19879.000,0.000,0.000,0.000
19919.000,0.000,0.000,0.000
19959.000,0.000,0.000,0.000
20000.000,0.000,0.000,0.000
20039.000,0.000,0.000,0.000
20079.000,0.000,0.000,0.000
20119.000,0.000,0.000,0.000
20159.000,0.000,0.000,0.000
20199.000,0.000,0.000,0.000
20239.000,0.000,0.000,0.000
20279.000,0.000,0.000,0.000
20319.000,0.000,0.000,0.000
20359.000,0.000,0.000,0.000
20399.000,0.000,0.000,0.000
20439.000,0.000,0.000,0.000
20479.000,0.000,0.000,0.000
20519.000,0.000,0.000,0.000
20559.000,0.000,0.000,0.000
20599.000,0.000,0.000,0.000
20639.000,0.000,0.000,0.000
20679.000,0.000,0.000,0.000
20719.000,0.000,0.000,0.000
20759.000,0.000,0.000,0.000
20799.000,0.000,0.000,0.000
20839.000,0.000,0.000,0.000
20879.000,0.000,0.000,0.000
20919.000,0.000,0.000,0.000
20959.000,0.000,0.000,0.000
20999.000,0.000,0.000,0.000
21039.000,0.000,0.000,0.000
21079.000,0.000,0.000,0.000
21119.000,0.000,0.000,0.000
21159.000,0.000,0.000,0.000
21199.000,0.000,0.000,0.000
21239.000,0.000,0.000,0.000
21279.000,0.000,0.000,0.000
21319.000,0.000,0.000,0.000
21359.000,0.000,0.000,0.000
21399.000,0.000,0.000,0.000
21439.000,0.000,0.000,0.000
21479.000,0.000,0.000,0.000
21519.000,0.000,0.000,0.000
21559.000,0.000,0.000,0.000
21599.000,0.000,0.000,0.000
21639.000,0.000,0.000,0.000
21679.000,0.000,0.000,0.000
21719.000,0.000,0.000,0.000
21759.000,0.000,0.000,0.000
21799.000,0.000,0.000,0.000
21839.000,0.000,0.000,0.000
21879.000,0.000,0.000,0.000
21919.000,0.000,0.000,0.000
21959.000,0.000,0.000,0.000
21999.000,0.000,0.000,0.000
22039.000,0.000,0.000,0.000
22079.000,0.000,0.000,0.000
22119.000,0.000,0.000,0.000
22159.000,0.000,0.000,0.000
22199.000,0.000,0.000,0.000
22239.000,0.000,0.000,0.000
22279.000,0.000,0.000,0.000
22319.000,0.000,0.000,0.000
22359.000,0.000,0.000,0.000
22399.000,0.000,0.000,0.000
22439.000,0.000,0.000,0.000
22479.000,0.000,0.000,0.000
22519.000,0.000,0.000,0.000
22559.000,0.000,0.000,0.000
22599.000,0.000,0.000,0.000
22639.000,0.000,0.000,0.000
22679.000,0.000,0.000,0.000
22719.000,0.000,0.000,0.000
22760.000,0.000,0.000,0.000
22799.000,0.000,0.000,0.000
22839.000,0.000,0.000,0.000
22879.000,0.000,0.000,0.000
22919.000,0.000,0.000,0.000
22959.000,0.000,0.000,0.000
22999.000,0.000,0.000,0.000
23039.000,0.000,0.000,0.000
23080.000,0.000,0.000,0.000
23119.000,0.000,0.000,0.000
23159.000,0.000,0.000,0.000
23199.000,0.000,0.000,0.000
23239.000,0.000,0.000,0.000
23279.000,0.000,0.000,0.000
23319.000,0.000,0.000,0.000
23359.000,0.000,0.000,0.000
23400.000,0.000,0.000,0.000
23439.000,0.000,0.000,0.000
23479.000,0.000,0.000,0.000
23519.000,0.000,0.000,0.000
23559.000,0.000,0.000,0.000
23599.000,0.000,0.000,0.000
23639.000,0.000,0.000,0.000
23679.000,0.000,0.000,0.000
23719.000,0.000,0.000,0.000
23759.000,0.000,0.000,0.000
23799.000,0.000,0.000,0.000
23839.000,0.000,0.000,0.000
23879.000,0.000,0.000,0.000
23919.000,0.000,0.000,0.000
23959.000,0.000,0.000,0.000
23999.000,0.000,0.000,0.000
24040.000,0.000,0.000,0.000
24079.000,0.000,0.000,0.000
24121.000,0.000,0.000,0.000
24159.000,0.000,0.000,0.000
24199.000,0.000,0.000,0.000
24239.000,0.000,0.000,0.000
24279.000,0.000,0.000,0.000
24319.000,0.000,0.000,0.000
24359.000,0.000,0.000,0.000
24400.000,0.000,0.000,0.000
24439.000,0.000,0.000,0.000
24479.000,0.000,0.000,0.000
24519.000,0.000,0.000,0.000
24559.000,0.000,0.000,0.000
24599.000,0.000,0.000,0.000
24639.000,0.000,0.000,0.000
24679.000,0.000,0.000,0.000
24719.000,0.000,0.000,0.000
24759.000,0.000,0.000,0.000
24799.000,0.000,0.000,0.000
24839.000,0.000,0.000,0.000
24879.000,0.000,0.000,0.000
24919.000,0.000,0.000,0.000
24959.000,0.000,0.000,0.000
24999.000,0.000,0.000,0.000
25039.000,0.000,0.000,0.000
25079.000,0.000,0.000,0.000
25119.000,0.000,0.000,0.000
25159.000,0.000,0.000,0.000
25199.000,0.000,0.000,0.000
25239.000,0.000,0.000,0.000
25279.000,0.000,0.000,0.000
25319.000,0.000,0.000,0.000
25359.000,0.000,0.000,0.000
25399.000,0.000,0.000,0.000
25442.000,0.000,0.000,0.000
25479.000,0.000,0.000,0.000
25519.000,0.000,0.000,0.000
25559.000,0.000,0.000,0.000
25599.000,0.000,0.000,0.000
25639.000,0.000,0.000,0.000
25679.000,0.000,0.000,0.000
25719.000,0.000,0.000,0.000
25759.000,0.000,0.000,0.000
25799.000,0.000,0.000,0.000
25839.000,0.000,0.000,0.000
25879.000,0.000,0.000,0.000
25919.000,0.000,0.000,0.000
25959.000,0.000,0.000,0.000
25999.000,0.000,0.000,0.000
26039.000,0.000,0.000,0.000
26079.000,0.000,0.000,0.000
26119.000,0.000,0.000,0.000
26159.000,0.000,0.000,0.000
26199.000,0.000,0.000,0.000
26239.000,0.000,0.000,0.000
26279.000,0.000,0.000,0.000
26319.000,0.000,0.000,0.000
26359.000,0.000,0.000,0.000
26399.000,0.000,0.000,0.000
26439.000,0.000,0.000,0.000
26479.000,0.000,0.000,0.000
26519.000,0.000,0.000,0.000
26559.000,0.000,0.000,0.000
26599.000,0.000,0.000,0.000
26639.000,0.000,0.000,0.000
26679.000,0.000,0.000,0.000
26719.000,0.000,0.000,0.000
26759.000,0.000,0.000,0.000
26799.000,0.000,0.000,0.000
26839.000,0.000,0.000,0.000
26879.000,0.000,0.000,0.000
26919.000,0.000,0.000,0.000
26959.000,0.000,0.000,0.000
26999.000,0.000,0.000,0.000
27039.000,0.000,0.000,0.000
27079.000,0.000,0.000,0.000
27119.000,0.000,0.000,0.000
27159.000,0.000,0.000,0.000
27199.000,0.000,0.000,0.000
27239.000,0.000,0.000,0.000
27279.000,0.000,0.000,0.000
27319.000,0.000,0.000,0.000
27359.000,0.000,0.000,0.000
27399.000,0.000,0.000,0.000
27439.000,0.000,0.000,0.000
27479.000,0.000,0.000,0.000
27519.000,0.000,0.000,0.000
27559.000,0.000,0.000,0.000
27599.000,0.000,0.000,0.000
27639.000,0.000,0.000,0.000
27679.000,0.000,0.000,0.000
27720.000,0.000,0.000,0.000
27759.000,0.000,0.000,0.000
27799.000,0.000,0.000,0.000
27839.000,0.000,0.000,0.000
27879.000,0.000,0.000,0.000
27919.000,0.000,0.000,0.000
27965.000,0.000,0.000,0.000
27999.000,0.000,0.000,0.000
28039.000,0.000,0.000,0.000
28079.000,0.000,0.000,0.000
28119.000,0.000,0.000,0.000
28159.000,0.000,0.000,0.000
28199.000,0.000,0.000,0.000
28239.000,0.000,0.000,0.000
28279.000,0.000,0.000,0.000
28319.000,0.000,0.000,0.000
28359.000,0.000,0.000,0.000
28399.000,0.000,0.000,0.000
28439.000,0.000,0.000,0.000
28479.000,0.000,0.000,0.000
28519.000,0.000,0.000,0.000
28559.000,0.000,0.000,0.000
28599.000,0.000,0.000,0.000
28639.000,0.000,0.000,0.000
28679.000,0.000,0.000,0.000
28719.000,0.000,0.000,0.000
28759.000,0.000,0.000,0.000
28799.000,0.000,0.000,0.000
28839.000,0.000,0.000,0.000
28879.000,0.000,0.000,0.000
28919.000,0.000,0.000,0.000
28959.000,0.000,0.000,0.000
28999.000,0.000,0.000,0.000
29039.000,0.000,0.000,0.000
29079.000,0.000,0.000,0.000
29119.000,0.000,0.000,0.000
29159.000,0.000,0.000,0.000
29199.000,0.000,0.000,0.000
29239.000,0.000,0.000,0.000
29279.000,0.000,0.000,0.000
29319.000,0.000,0.000,0.000
29359.000,0.000,0.000,0.000
29399.000,0.000,0.000,0.000
29439.000,0.000,0.000,0.000
29479.000,0.000,0.000,0.000
29519.000,0.000,0.000,0.000
29559.000,0.000,0.000,0.000
29599.000,0.000,0.000,0.000
29639.000,0.000,0.000,0.000
29679.000,0.000,0.000,0.000
29719.000,0.000,0.000,0.000
29759.000,0.000,0.000,0.000
29799.000,0.000,0.000,0.000
29839.000,0.000,0.000,0.000
29879.000,0.000,0.000,0.000
29919.000,0.000,0.000,0.000
29959.000,0.000,0.000,0.000
29999.000,0.000,0.000,0.000
30039.000,0.000,0.000,0.000
30079.000,0.000,0.000,0.000
30119.000,0.000,0.000,0.000
30159.000,0.000,0.000,0.000
30199.000,0.000,0.000,0.000
30239.000,0.000,0.000,0.000
30279.000,0.000,0.000,0.000
30319.000,0.000,0.000,0.000
30359.000,0.000,0.000,0.000
30399.000,0.000,0.000,0.000
30439.000,0.000,0.000,0.000
30479.000,0.000,0.000,0.000
30519.000,0.000,0.000,0.000
30559.000,0.000,0.000,0.000
30599.000,0.000,0.000,0.000
30639.000,0.000,0.000,0.000
30679.000,0.000,0.000,0.000
30719.000,0.000,0.000,0.000
30759.000,0.000,0.000,0.000
30799.000,0.000,0.000,0.000
30839.000,0.000,0.000,0.000
30879.000,0.000,0.000,0.000
30919.000,0.000,0.000,0.000
30959.000,0.000,0.000,0.000
30999.000,0.000,0.000,0.000
31039.000,0.000,0.000,0.000
31079.000,0.000,0.000,0.000
31119.000,0.000,0.000,0.000
31159.000,0.000,0.000,0.000
31199.000,0.000,0.000,0.000
31239.000,0.000,0.000,0.000
31279.000,0.000,0.000,0.000
31319.000,0.000,0.000,0.000
31359.000,0.000,0.000,0.000
31399.000,0.000,0.000,0.000
31439.000,0.000,0.000,0.000
31480.000,0.000,0.000,0.000
31520.000,0.000,0.000,0.000
31559.000,0.000,0.000,0.000
31599.000,0.000,0.000,0.000
31639.000,0.000,0.000,0.000
31679.000,0.000,0.000,0.000
31719.000,0.000,0.000,0.000
31759.000,0.000,0.000,0.000
31799.000,0.000,0.000,0.000
31839.000,0.000,0.000,0.000
31879.000,0.000,0.000,0.000
31919.000,0.000,0.000,0.000
31959.000,0.000,0.000,0.000
31999.000,0.000,0.000,0.000
32039.000,0.000,0.000,0.000
32079.000,0.000,0.000,0.000
32119.000,0.000,0.000,0.000
32159.000,0.000,0.000,0.000
32199.000,0.000,0.000,0.000
32239.000,0.000,0.000,0.000
32279.000,0.000,0.000,0.000
32319.000,0.000,0.000,0.000
32359.000,0.000,0.000,0.000
32399.000,0.000,0.000,0.000
32439.000,0.000,0.000,0.000
32479.000,0.000,0.000,0.000
32519.000,0.000,0.000,0.000
32559.000,0.000,0.000,0.000
32599.000,0.000,0.000,0.000
32639.000,0.000,0.000,0.000
32679.000,0.000,0.000,0.000
32719.000,0.000,0.000,0.000
